Tiempo (s),Temperatura (°C)
64.5,0.10094428062438965
65.0,1.1025376319885254
63.4,2.0136592388153076
63.9,3.0840225219726562
63.4,4.066501617431641
63.9,5.067745208740234
63.9,6.032203435897827
64.5,7.0011210441589355
63.9,7.990595817565918
63.9,8.98134160041809
64.5,9.925330638885498
64.5,10.956603050231934
64.5,11.912874460220337
64.5,12.898844242095947
65.0,13.941266536712646
65.0,15.008125066757202
65.0,16.10786509513855
64.5,17.10452127456665
64.5,18.114556074142456
64.5,19.09835124015808
65.0,20.103225708007812
