Tiempo (s),Temperatura (°C)
53.7,2.003194808959961
53.7,4.091086149215698
53.7,5.331672191619873
53.7,6.589202404022217
53.7,7.759720325469971
53.7,8.95845079421997
53.7,10.174298286437988
53.7,11.415704488754272
53.7,12.59907865524292
54.2,13.805743932723999
54.2,15.009140014648438
54.2,16.210274934768677
54.2,17.444120168685913
54.8,18.697041273117065
54.2,19.912279844284058
54.2,21.152135848999023
54.8,22.392624616622925
54.8,23.647557258605957
55.8,24.81455636024475
54.8,25.93074059486389
54.8,27.036305904388428
55.3,28.140008687973022
54.8,29.252901554107666
54.8,30.385220050811768
55.8,31.5428147315979
55.8,32.672645568847656
55.3,33.91157937049866
55.8,35.063512325286865
55.8,36.23084259033203
55.3,37.39627456665039
55.8,38.549994707107544
54.8,39.73770809173584
55.8,40.91820168495178
55.8,42.087995767593384
55.8,43.27931761741638
55.8,44.389864921569824
55.8,45.51060104370117
55.8,46.62199687957764
56.4,47.75825357437134
56.4,49.07281446456909
56.9,50.30633997917175
